rutaImagen,etiqueta,estado,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000020.jpg,pliers,exito,2.8801356634659485,5.972261632294946,9.435189623501287,9.520919589923315,9.999999999797248,9.999105659896383,-9.999999999995175
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000021.jpg,pliers,exito,2.9837842222213777,6.2748030112898014,9.976610014165686,9.997220635423387,9.999999999999995,9.999998511321198,-10.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000022.jpg,pliers,exito,2.5766814950650563,5.267488126831555,9.301001083919447,8.909961640077736,9.999999996700158,9.988737993424781,-9.999999999906477
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000023.jpg,pliers,exito,2.41084815655285,5.845292337840805,8.333330702871866,9.545506598308954,9.999999999742947,9.999083659418027,-9.99999999931133
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000024.jpg,pliers,exito,2.8666913214344514,7.67391600980188,9.407516163473138,9.917548116753075,-9.999999999994417,9.999987668472096,9.999999999995637
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000025.jpg,pliers,exito,2.867276272411445,8.225863351010895,9.551734531741223,9.984025042234876,9.999999999999844,9.999999010446885,9.999999999999606
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000026.jpg,pliers,exito,2.7723714896646747,5.660547488176615,9.606899974774793,9.660805700751007,9.999999999932166,9.999242396716584,-9.999999999997925
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000027.jpg,pliers,exito,2.499696959549238,7.288261309743776,7.79707880909653,9.623828416400913,-9.99999999926507,-9.99990374735659,9.999999999508022
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000028.jpg,pliers,exito,2.618254834484799,5.800392759723189,8.740316220254702,9.001132798518213,-9.999999995580179,9.995149626504318,-9.999999998028215
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000029.jpg,pliers,exito,2.5935766053030305,5.309289549321094,8.734778193071968,8.712579411857925,9.999999985726609,9.98349472405636,-9.999999999411136
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000030.jpg,pliers,exito,2.65357608859393,5.408722899266598,9.53704222376953,9.970463430418581,9.999999999998995,9.9999441218529,9.99999999999951
